Rank,Gold,Silver,Bronze,Total,Rank by Total
1,39,41,33,113,1
2,38,32,18,88,2
3,27,14,17,58,5
4,22,21,22,65,4
5,20,28,23,71,3
6,17,7,22,46,6
7,10,12,14,36,9
8,10,12,11,33,10
9,10,11,16,37,8
10,10,10,20,40,7
11,7,6,11,24,11
12,7,6,8,21,12
13,7,6,7,20,13
14,7,3,5,15,18
15,6,7,7,20,13
16,6,4,10,20,13
17,4,5,5,14,19
18,4,4,3,11,23
19,4,4,2,10,25
20,4,2,2,8,29
21,4,1,4,9,26
22,3,8,6,17,17
23,3,6,0,9,26
24,3,4,6,13,20
25,3,4,4,11,23
26,3,3,2,8,29
27,3,2,2,7,33
28,3,1,5,9,26
29,3,1,3,7,33
30,3,1,2,6,39
31,3,1,1,5,42
32,3,0,2,5,42
33,2,5,1,8,29
34,2,4,6,12,22
35,2,2,9,13,20
36,2,1,1,4,47
36,2,1,1,4,47
38,2,1,0,3,60
39,2,0,2,4,47
39,2,0,2,4,47
41,2,0,1,3,60
42,2,0,0,2,66
42,2,0,0,2,66
44,1,6,12,19,16
45,1,3,3,7,33
46,1,3,0,4,47
46,1,3,0,4,47
48,1,2,4,7,33
49,1,2,3,6,39
50,1,2,1,4,47
50,1,2,1,4,47
52,1,2,0,3,60
53,1,1,5,7,33
54,1,1,4,6,39
55,1,1,3,5,42
56,1,1,2,4,47
56,1,1,2,4,47
58,1,1,0,2,66
59,1,0,1,2,66
59,1,0,1,2,66
59,1,0,1,2,66
59,1,0,1,2,66
63,1,0,0,1,77
63,1,0,0,1,77
63,1,0,0,1,77
66,0,4,1,5,42
67,0,3,4,7,33
68,0,3,2,5,42
69,0,2,2,4,47
70,0,2,1,3,60
71,0,1,3,4,47
72,0,1,2,3,60
72,0,1,2,3,60
74,0,1,1,2,66
74,0,1,1,2,66
74,0,1,1,2,66
77,0,1,0,1,77
77,0,1,0,1,77
77,0,1,0,1,77
77,0,1,0,1,77
77,0,1,0,1,77
77,0,1,0,1,77
83,0,0,8,8,29
84,0,0,4,4,47
85,0,0,2,2,66
86,0,0,1,1,77
86,0,0,1,1,77
86,0,0,1,1,77
86,0,0,1,1,77
86,0,0,1,1,77
86,0,0,1,1,77
86,0,0,1,1,77
86,0,0,1,1,77
